25 20
#############
#.....k.....#    ########
#...s...s...######.....a#
#.............d.........#
#...........######......#
#.....s.....#    #......#
#...........#    #......#
#...........#    #......#
#####..######    ###..###
    #..#           #..#
    #..#           #..#
    #..#          ##..##
  ###..####      #......#
  #..@....#      #......#
  #.......#      #......#
  #.......#      #......#
  #.......#      #......#
  #.....w.#      #......#
  #.......#      #......#
  #########       ######
